Observation,M1,M2,M3,M8,M9,M10
GBP4,6.59934411,5.226266025,3.693287538,7.658312365,8.666037977,7.419708102
BCAT1,5.760380377,4.892783021,5.448923917,8.765914637,8.097206243,8.262942399
CMPK2,9.561905115,4.549168157,3.998654922,7.37959102,7.938062515,6.154117903
STOX2,8.396409316,8.71705522,8.03906411,3.542216879,4.305187046,6.964710085
PADI2,8.419765891,8.268429802,8.451180844,4.13666741,4.910986115,4.080363054
SCARNA5,7.65307431,5.78039263,10.63355047,3.822596067,4.041077693,7.956588636
ALOX12P2,9.001421152,7.753542291,4.920959582,3.700850128,5.374031843,7.804891919
SNORA74B,5.538708715,7.169053394,11.44164644,4.587195378,5.147439897,7.830767801
HIST1H2BL,6.181270497,4.44841889,5.60496103,10.13755803,9.046604492,7.132642752
