name,value
安徽省,6118
福建省,3581
甘肃省,2617
广东省,9449
贵州省,3762
海南省,845
河北省,6943
河南省,9360
黑龙江省,3824
湖北省,5699
湖南省,6355
吉林省,2730
江苏省,7625
江西省,4368
辽宁省,4298
青海省,552
山东省,9367
山西省,3393
陕西省,3748
四川省,8127
台湾省,2296
云南省,4514
浙江省,5060
北京市,1633
天津市,1115
上海市,1858
重庆市,2816
广西壮族自治区,4768
内蒙古自治区,2405
宁夏回族自治区,610
西藏自治区,284
新疆维吾尔自治区,2095
香港特别行政区,693
澳门特别行政区,453
