Probes	GSM65752	GSM65753	GSM65755	GSM65757	GSM65758	GSM65760	GSM65761	GSM65762	GSM65763	GSM65764	GSM65767	GSM65768	GSM65769	GSM65770	GSM65771	GSM65772	GSM65773	GSM65774	GSM65775	GSM65776	GSM65779	GSM65781	GSM65783	GSM65784	GSM65785	GSM65786	GSM65788	GSM65789	GSM65790	GSM65791	GSM65792	GSM65793	GSM65794	GSM65795	GSM65796	GSM65797	GSM65798	GSM65799	GSM65800	GSM65801	GSM65803	GSM65804	GSM65805	GSM65806	GSM65807	GSM65808	GSM65811	GSM65814	GSM65815	GSM65816	GSM65817	GSM65818	GSM65819	GSM65821	GSM65822	GSM65824	GSM65830	GSM65831	GSM65832	GSM65833	GSM65834	GSM65836	GSM65837	GSM65839	GSM65841	GSM65842	GSM65843	GSM65844	GSM65845	GSM65848	GSM65850	GSM65853	GSM65855	GSM65857	GSM65860	GSM65861	GSM65862	GSM65863	GSM65865	GSM65866	GSM65867	GSM65868	GSM65869	GSM65870	GSM65871	GSM65872	GSM65873	GSM65874	GSM65875	GSM65878	GSM65880
211106_at	5.952489	6.059367	5.793319	6.048332	6.064122	6.429027	6.249622	6.064814	6.332496	6.106813	6.427698	5.799684	6.021071	6.134856	6.600502	6.645552	6.227123	5.952871	5.956777	6.353372	6.084064	6.294885	6.272683	5.843087	5.898257	5.92464	6.043568	6.342042	6.411996	6.47767	6.046738	6.10256	6.608229	6.677608	6.130131	6.414832	5.810186	6.321236	5.933956	5.848388	5.994802	6.171188	6.380037	6.233591	6.346505	6.140668	5.829808	6.13155	6.21303	6.476079	6.3776	6.286158	6.242098	6.438612	6.438519	6.249961	6.282569	6.18916	6.451662	6.345145	6.09188	6.37421	6.371426	6.164722	6.558205	6.666001	6.447916	6.27105	6.617947	6.644866	6.589562	6.886578	6.108444	6.450042	6.34219	6.303555	6.344754	6.306495	6.50102	6.514356	6.420082	6.365596	6.330155	6.539441	6.61708	6.56453	6.418409	6.943545	6.817247	6.599463	6.45412
208995_s_at	6.173396	6.115393	6.00549	6.228586	6.50237	6.01266	6.3702	6.334487	6.060248	5.739537	6.175638	5.855812	6.245244	6.149861	6.510392	6.291043	6.241951	6.175408	6.172181	6.076732	6.040247	6.030845	6.432089	6.230144	6.122688	6.418623	6.504284	6.623717	6.249386	6.307592	6.572757	6.824668	6.282807	6.492631	6.378487	6.370496	6.625515	6.633649	6.091961	5.985309	6.904137	6.616563	6.597971	6.617091	6.050304	6.229592	6.1729	6.086429	6.524713	6.873419	5.974024	5.970345	6.371798	7.26471	7.401116	6.967317	7.157926	7.13399	6.700655	6.728439	7.210941	6.99585	6.888889	7.800098	7.19487	6.82986	6.89181	6.751093	7.11787	7.341669	7.124833	6.759015	7.062757	7.050059	7.116004	7.495197	7.423308	7.555312	7.184826	7.279027	7.192271	6.9187	7.131934	6.786937	7.048503	7.697511	7.050882	7.230967	7.234546	7.129398	7.067404
206404_at	8.242229	5.77839	5.405077	5.65418	5.793039	5.715976	5.559631	5.651809	5.601976	5.809961	5.930973	5.597353	5.579419	6.65447	5.796956	5.772895	5.751359	5.456094	5.792797	5.644697	5.894406	5.775651	5.717064	5.587605	6.342645	5.636852	5.561003	6.3756	5.939923	5.797753	5.582695	5.788323	5.750481	5.735257	5.757951	5.595534	5.818953	5.731482	5.803366	5.685673	5.777897	5.500113	7.904396	6.216907	6.52249	5.536101	5.624298	5.921907	5.991551	6.461885	5.849031	5.915199	5.674328	6.294832	6.519213	6.541791	6.650996	6.40611	6.189932	6.775549	6.323201	6.616657	6.913531	6.218732	6.992977	6.41825	6.339692	6.68697	6.784953	6.592273	7.278345	6.521252	6.337299	6.536993	6.406594	6.449947	6.755261	7.024671	6.560113	6.36669	6.412197	6.4119	6.435651	6.514535	6.923647	6.48298	6.510382	7.360061	6.481143	10.730639	6.47261
215919_s_at	4.493221	4.281977	4.385673	4.660449	4.259162	4.212615	4.33411	4.641516	4.028916	4.249294	4.216619	4.288147	4.511358	4.190455	4.817262	4.372781	4.730855	4.347041	4.224443	4.359226	4.445918	4.426121	4.362158	4.518505	4.356138	4.335641	4.3834	4.272839	4.508284	4.340538	4.452387	4.514385	4.778185	4.37799	4.391013	4.427379	4.347311	4.448798	4.334837	4.293619	4.247337	4.32915	4.441555	4.59005	4.230639	4.539135	4.503191	4.394835	4.519801	4.446593	4.352914	4.200546	4.321965	5.55794	5.676892	5.454539	6.308069	5.721656	5.481908	5.65029	5.068775	5.576678	5.833162	5.346148	6.236441	5.485152	5.276985	5.451973	5.193697	5.329738	5.457965	5.28563	5.472412	5.4277	5.627498	5.305575	5.281045	5.911715	5.404517	5.512068	5.317447	5.949601	5.26991	5.459491	5.878206	5.807066	5.487411	6.161271	5.414592	5.395389	5.271082
211405_x_at	7.344015	7.45599	7.425486	7.441561	7.525985	7.506493	7.469874	7.323066	7.495706	7.537284	7.789216	7.582153	7.431717	7.672254	7.681978	7.838947	7.457032	7.406978	7.592448	7.491327	7.485667	7.681208	7.797501	7.327221	7.564932	7.572381	7.264886	7.720454	7.433652	7.48022	7.432957	7.375389	7.545865	7.901997	7.352679	7.641216	7.368856	7.599994	7.682779	7.783604	7.617975	7.717412	7.454586	7.611664	8.137983	7.40141	7.361494	8.005585	7.364674	7.602024	7.800488	7.712035	7.594491	7.708189	7.815787	7.651072	7.679041	7.661247	7.823572	8.078751	7.389277	7.649876	7.466866	7.452511	8.102388	7.977239	7.697473	8.134663	8.008672	7.618217	7.977972	7.932063	7.442228	7.774569	7.787931	7.614637	7.606439	7.454043	7.80908	7.793042	7.493728	7.518687	7.977407	7.534771	7.501641	7.626921	7.684149	7.658721	8.188573	7.90542	7.874303
217193_x_at	7.295818	7.288988	7.390849	7.283491	7.315536	7.715681	7.529764	7.182671	7.313699	7.279945	7.848037	7.347629	7.358894	7.399157	7.494557	7.282995	7.240453	7.290084	7.309023	7.329504	7.323974	7.408698	7.366162	7.193836	7.300667	7.455193	7.184102	7.430341	7.328469	7.315721	7.149359	7.175902	7.440444	7.433408	7.25243	7.226038	7.187437	7.351837	7.26611	7.392065	7.450809	7.433849	7.442033	7.337468	7.438787	7.159143	7.290605	7.553984	7.228496	7.552675	7.600576	7.5062	7.275133	7.093252	6.887834	6.770801	6.879136	6.960834	7.135783	7.030814	6.934047	6.868771	6.839815	6.976986	7.245253	7.115612	6.997352	7.022008	7.184192	7.023627	7.109844	7.112145	6.857274	6.915979	6.982001	6.999773	7.124035	7.066078	7.009381	7.36057	6.908823	6.91879	7.191022	6.873771	7.010185	6.922624	6.915674	6.921028	7.078145	7.02692	6.971364
203598_s_at	4.756921	4.780581	5.161775	4.543315	4.528977	4.526325	4.636395	4.851365	4.711195	4.662779	4.53467	4.803641	4.669923	4.669192	4.328812	4.402472	4.335452	4.703792	5.050978	4.464137	4.658765	4.525466	4.663267	4.841424	4.869133	4.670316	4.639738	4.561727	4.763677	4.425668	5.431523	4.662157	4.297921	4.725297	5.258443	4.724291	4.434004	4.708474	4.677851	4.851533	4.694313	4.561586	5.11451	4.558081	4.546475	4.594088	4.895976	4.575757	4.884066	4.774939	4.371506	4.774604	4.692641	4.589279	4.589836	4.930988	5.091185	4.385836	4.447989	4.767661	4.975392	4.666869	4.736889	5.2026	4.507789	4.650147	4.79102	4.467276	5.504367	4.842001	5.048162	4.523767	4.868816	4.597978	4.932295	4.80516	4.815299	4.913188	5.137709	4.70741	4.678798	4.632106	5.318921	4.749958	5.385336	4.800025	4.954723	5.119653	4.601981	5.518333	4.72156
209265_s_at	8.151587	9.113938	8.909849	8.789166	8.288253	8.551961	8.397549	9.181231	9.341952	8.843818	8.249302	8.946395	9.218418	9.096393	8.720647	8.807812	9.325167	9.066731	9.026153	8.615822	9.292815	9.021306	9.118415	9.2033	9.490187	8.592241	9.342863	9.398785	8.497853	8.602838	9.116414	9.323473	8.952125	8.228233	9.2489	8.892854	8.808366	8.894032	8.939176	9.065272	8.907434	8.561074	8.424046	8.787326	8.657722	9.158902	9.034241	9.15048	9.022491	8.596015	8.415533	8.643871	8.887217	9.087275	8.903782	8.858351	9.253537	8.996705	8.832189	8.716563	8.74211	9.348681	8.793821	9.704735	8.026847	8.558752	8.815114	8.83077	9.209444	9.089446	8.485278	8.941114	8.837814	8.783972	8.975303	9.353655	9.428151	8.987915	8.407835	8.866412	8.600244	9.046962	8.614586	9.361408	10.095972	9.376027	9.940355	9.607958	9.208814	9.978806	9.542062
220647_s_at	8.562014	8.570285	8.169246	8.186847	7.96342	8.319218	8.372833	8.354132	8.227761	8.204435	8.240295	8.911899	8.911783	8.082842	8.211502	7.821231	8.04371	8.783813	8.817093	8.115553	8.120442	8.130255	7.986134	8.502687	8.055011	8.284413	7.961638	7.355144	8.175149	8.260525	8.84767	7.923606	8.143272	8.198521	8.450617	8.040573	8.361288	8.030179	8.179251	8.163908	8.15318	8.240417	8.34414	8.476265	7.751	8.372385	8.511721	8.262909	8.433446	8.357145	8.308478	8.195984	8.79568	8.365295	8.672145	8.230954	8.374592	8.722902	8.714383	8.297422	8.997587	8.348844	8.54081	7.999624	8.449994	8.228609	8.75229	8.457961	8.481102	8.216449	8.365337	8.196844	7.727677	8.632542	8.440875	7.848777	8.306625	8.486185	8.13321	8.207896	8.538904	7.9718	7.687516	8.18025	7.858192	8.364429	8.014483	8.289332	8.596902	7.85079	8.299078
212614_at	10.11123	9.76333	10.321967	9.907499	9.981239	9.765339	8.982235	9.992033	9.909704	10.527765	8.907103	9.246627	10.340286	10.447523	10.00338	10.210066	10.225152	8.92926	10.333043	9.744555	10.48239	10.406638	9.907128	9.325278	9.976068	10.069219	10.389409	10.259525	9.907728	9.862848	9.795194	10.236606	9.382316	9.297282	10.329903	9.796426	9.988938	10.374404	10.276085	10.1964	10.182192	9.232453	9.786683	10.002659	10.186567	9.801175	9.98988	9.954661	8.732612	10.33387	9.671656	9.52233	9.507874	9.761535	9.533863	10.265039	10.271179	9.421364	9.851233	9.779679	9.54142	10.073964	9.534571	10.019176	8.883875	9.111528	9.870752	8.251603	9.575593	10.042651	9.601699	9.734449	10.355687	8.955692	9.284311	9.301261	10.282615	9.7206	11.003887	10.080912	8.898468	8.598032	9.200524	9.88533	10.27497	10.567749	9.758058	10.424202	7.726743	9.919642	9.980732
