year	Alice	Anna
1991	724	7118
1992	686	6846
1993	684	6808
1994	595	7523
1995	579	8564
1996	593	8565
1997	579	8337
1998	594	8378
1999	651	9098
2000	668	10588
2001	631	10574
2002	654	10385
2003	699	9443
2004	756	9514
2005	753	9101
2006	844	8601
2007	950	7888
2008	1025	7265
2009	1275	6800
2010	1778	6326
2011	2192	5658
2012	2500	5615
2013	2935	5378
2014	3052	5679
2015	3414	5125
2016	3678	4775
2017	3804	4520
