"","corr.Factor1","corr.Factor2","corr.Factor3","corr.Factor4","corr.Factor5","corr.Factor6","corr.Factor7","corr.Factor8","corr.Factor9","corr.Factor10","corr.Factor11","corr.Factor12","corr.Factor13","corr.Factor14","corr.Factor15","corrPos.xName","corrPos.yName","corrPos.x","corrPos.y","corrPos.corr","type"
"1",1,0.144234542226772,0.0857456492284434,0.0253312387943809,0.0129257587922878,0.127460094167724,0.0729076458941207,0.067396030664031,0.112440289892209,0.120588321158302,0.171943111673972,0.105482167860474,0.0953127968088414,0.0755706061560764,0.0256216648901938,"Factor1","Factor1",1,15,1,"full"
"2",0.144234542226772,1,0.0357839358626844,0.0441907513589077,0.066466181220406,0.0434992603453163,0.132726296024063,0.0774144708002898,0.153440930166058,0.0771283665392411,0.0389195985868837,0.125228957439029,0.0892221937301431,0.0420007361439634,0.0462730092705818,"Factor1","Factor2",1,14,0.144234542226772,"full"
"3",0.0857456492284434,0.0357839358626844,1,0.109784415106475,0.0325599408213619,0.0625032944366688,0.175773471436073,0.0616247574023117,0.0841157383566589,0.0383598364935253,0.066338109322184,0.0130738757787588,0.0810935142823241,0.0785954864154088,0.0223166655004888,"Factor1","Factor3",1,13,0.0857456492284434,"full"
"4",0.0253312387943809,0.0441907513589077,0.109784415106475,1,0.0760852732744024,0.144748642549231,0.0496945062111828,0.148918127519138,0.0841173672213602,0.0958246238152223,0.00722190802359896,0.0815279187484329,0.0983226159977922,0.119898681404074,0.0338497126638723,"Factor1","Factor4",1,12,0.0253312387943809,"full"
"5",0.0129257587922878,0.066466181220406,0.0325599408213619,0.0760852732744024,1,0.0615298462088205,0.100728849463126,0.0456738717576954,0.0554727737331102,0.0292663309393641,0.131323810503243,0.0866043503416414,0.0557911513975532,0.0824309954999237,0.0208828866558014,"Factor1","Factor5",1,11,0.0129257587922878,"full"
"6",0.127460094167724,0.0434992603453163,0.0625032944366688,0.144748642549231,0.0615298462088205,1,0.0567911569805692,0.0398889288505814,0.137116474785702,0.110493515817039,0.0534111528174948,0.031252192311366,0.127326562832426,0.0197223600570815,0.0720357505003672,"Factor1","Factor6",1,10,0.127460094167724,"full"
"7",0.0729076458941207,0.132726296024063,0.175773471436073,0.0496945062111828,0.100728849463126,0.0567911569805692,1,0.0115128036036184,0.055465085968469,0.0975609360426991,0.0075468884593408,0.0850304424154771,0.0207273134663904,0.100099483193103,0.0372812806001792,"Factor1","Factor7",1,9,0.0729076458941207,"full"
"8",0.067396030664031,0.0774144708002898,0.0616247574023117,0.148918127519138,0.0456738717576954,0.0398889288505814,0.0115128036036184,1,0.0687980434676502,0.0149233238977547,0.0770787598102396,0.0606643766128632,0.0207879205199215,0.00584782344586719,0.0719518400905411,"Factor1","Factor8",1,8,0.067396030664031,"full"
"9",0.112440289892209,0.153440930166058,0.0841157383566589,0.0841173672213602,0.0554727737331102,0.137116474785702,0.055465085968469,0.0687980434676502,1,0.127039680324485,0.00516352034027499,0.0962849751887465,0.0977841756479817,0.0857920176642207,0.0931976006949525,"Factor1","Factor9",1,7,0.112440289892209,"full"
"10",0.120588321158302,0.0771283665392411,0.0383598364935253,0.0958246238152223,0.0292663309393641,0.110493515817039,0.0975609360426991,0.0149233238977547,0.127039680324485,1,0.0539457168275496,0.0320999703791272,0.0582524954378681,0.0818372867996153,0.101760061740587,"Factor1","Factor10",1,6,0.120588321158302,"full"
"11",0.171943111673972,0.0389195985868837,0.066338109322184,0.00722190802359896,0.131323810503243,0.0534111528174948,0.0075468884593408,0.0770787598102396,0.00516352034027499,0.0539457168275496,1,0.0669694167850566,0.0406931651353489,0.0293342985241254,0.110525714763147,"Factor1","Factor11",1,5,0.171943111673972,"full"
"12",0.105482167860474,0.125228957439029,0.0130738757787588,0.0815279187484329,0.0866043503416414,0.031252192311366,0.0850304424154771,0.0606643766128632,0.0962849751887465,0.0320999703791272,0.0669694167850566,1,0.0703521963757841,0.0217720226539992,0.0355449155626368,"Factor1","Factor12",1,4,0.105482167860474,"full"
"13",0.0953127968088414,0.0892221937301431,0.0810935142823241,0.0983226159977922,0.0557911513975532,0.127326562832426,0.0207273134663904,0.0207879205199215,0.0977841756479817,0.0582524954378681,0.0406931651353489,0.0703521963757841,1,0.00270116461504853,0.0655110405083775,"Factor1","Factor13",1,3,0.0953127968088414,"full"
"14",0.0755706061560764,0.0420007361439634,0.0785954864154088,0.119898681404074,0.0824309954999237,0.0197223600570815,0.100099483193103,0.00584782344586719,0.0857920176642207,0.0818372867996153,0.0293342985241254,0.0217720226539992,0.00270116461504853,1,0.0341490158722124,"Factor1","Factor14",1,2,0.0755706061560764,"full"
