"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Phosphorylation of CD3 and TCR zeta chains",1,1,1,1.21037468082959e-10,1,1,0.916385914452824,1,2.36084974554917e-18,1,1,1,0.176469747043247,1,1
"Translocation of ZAP-70 to Immunological synapse",1,0.789400409690797,1,7.27748722226804e-08,1,1,0.717936999012019,0.893791978516752,1.06329699139622e-13,1,1,1,0.131012691457541,1,1
"Generation of second messenger molecules",1,0.832362944772851,1,5.33006860643555e-11,1,1,0.528911802191034,0.746851969853535,2.61313194102073e-20,0.866420295341354,1,1,0.639656857864347,1,0.992614404440843
"Cell surface interactions at the vascular wall",0.940932010344607,0.541699178461354,0.773214861140704,0.348955711260938,1,0.715912522604352,0.567392223013555,0.95093338785118,0.824494520184627,0.684006057386982,0.743366468640872,0.643606961782654,0.921043880078693,1,0.524948664593475
"Fcgamma receptor (FCGR) dependent phagocytosis",0.940932010344607,1,0.938152812029838,0.00119868203520207,1,0.174507874225694,1,0.893791978516752,0.047836268570867,1,1,1,0.639656857864347,1,0.466432950667534
"FCGR activation",1,1,1,1.61960418096968e-07,1,1,1,1,7.4400801957708e-06,1,1,1,0.359785805874736,1,0.358432716829472
"Regulation of actin dynamics for phagocytic cup formation",0.940932010344607,1,1,0.000666060641535348,0.808006955328871,0.492784858836128,1,0.893791978516752,0.197911049253752,1,1,1,0.921043880078693,1,0.480239311271946
"eNOS activation and regulation",1,0.708453550147941,0.882738466194612,1,0.571722655540592,1,0.463809251692115,1,1,1,0.844043273483812,0.763386898147005,0.893015721564875,1,1
"Cell death signalling via NRAGE, NRIF and NADE",1,1,1,1,1,0.827897972890409,1,1,1,0.792099193235908,0.37392539612793,0.248748241044632,1,0.584209971976998,1
"Glutamate Neurotransmitter Release Cycle",1,0.99298208862727,1,1,1,0.902163379484436,1,0.893791978516752,0.890573075442011,0.895632806213219,0.838614546789938,0.733899998483002,0.984761303807323,1,1
"Basigin interactions",0.950412296712533,0.726733179119743,0.773214861140704,1,1,1,0.603908713832626,1,1,0.0060776174207111,0.844043273483812,0.8206033291853,1,0.274141460432458,0.158695765914085
"Gene Silencing by RNA",0.997830753731865,0.0166733173840322,0.909741487500433,1,5.35399552187515e-16,1,1,0.893791978516752,0.828769388003795,1,1,1,1,1,1
"Biological oxidations",1,1,0.922872861785826,0.889895754643811,1,1,0.624750341466199,1,1,1,0.935608208165046,0.928278404987314,0.943787431652903,1,0.916538774917934
"Cytochrome P450 - arranged by substrate type",1,1,1,0.728519039763456,1,1,1,1,1,1,1,1,0.954493579752265,1,1
"Phase 1 - Functionalization of compounds",1,1,0.962251925668788,0.520520785583197,1,1,1,1,1,1,1,0.868887074893475,0.90383722780576,1,1
"Endogenous sterols",0.997830753731865,0.99298208862727,1,0.916435555099618,1,1,1,0.893791978516752,1,1,0.883422036896465,0.785117419342432,0.921043880078693,1,0.917209548360896
"Epigenetic regulation of gene expression",1,0.339646813911794,0.909741487500433,1,3.72901369855871e-20,1,1,0.893791978516752,0.824494520184627,1,1,1,0.97070563703497,1,1
"NOTCH1 Intracellular Domain Regulates Transcription",1,0.718606807057944,1,1,0.583336141946761,0.715912522604352,1,1,1,1,1,0.303085678020328,1,1,1
"Activated NOTCH1 Transmits Signal to the Nucleus",1,0.950779630071112,1,1,0.96085320480904,1,1,1,1,0.992408412389115,1,0.339055911967636,1,0.991230810375526,1
"PRC2 methylates histones and DNA",1,0.117483045273297,0.909741487500433,1,6.22597882054241e-23,1,1,0.893791978516752,0.824494520184627,1,1,1,0.954493579752265,1,1
"Generic Transcription Pathway",1,0.946316647406669,0.882738466194612,1,0.189817569632371,1,1,1,1,1,1,1,1,0.595672102871355,0.639316207950252
"Dopamine Neurotransmitter Release Cycle",1,1,1,1,0.991321813173844,1,1,1,1,0.942035344306735,0.957173356646774,1,1,1,1
"Molecules associated with elastic fibres",1,1,1,1,1,0.955943848701626,1,0.486945805716438,1,0.792099193235908,0.258463078000247,0.445798220230605,1,1,0.949519513860953
"MHC class II antigen presentation",1,0.782301447194654,0.882738466194612,1,1,0.930625125158283,0.945648028760506,0.942052310398637,1,0.866420295341354,0.337975282188905,1,0.639656857864347,1,0.205995112876605
"Arachidonic acid metabolism",1,0.923733146526294,1,0.00475295909703991,1,1,0.734038319321727,0.986911775219931,0.84740633213461,0.868510033018608,1,1,0.639656857864347,0.994877495216091,0.964074098622506
"Integrin cell surface interactions",0.940932010344607,1,1,0.450823022052306,1,0.622788496906004,1,0.18944716235912,0.824494520184627,0.719417982495205,0.78162916325881,0.562912903145688,1,0.759728491711621,1
"DAP12 interactions",0.940932010344607,1,0.907184512881875,7.61516740347127e-05,0.755634675005125,0.205759716265113,1,0.806080810519595,0.824494520184627,1,1,0.695906440689927,1,1,0.843411922195324
"Binding and Uptake of Ligands by Scavenger Receptors",1,1,1,2.36155122789589e-06,0.00370631155657026,0.892197579868866,0.344421960494973,1,1,1,1,1,1,0.992311874404621,0.380826093138224
"Visual phototransduction",1,1,1,0.0267859756885479,1,1,1,0.365134435533927,0.824494520184627,1,0.714157733361779,1,1,1,1
"PI3K/AKT Signaling in Cancer",0.892848697518085,0.789400409690797,1,0.0834307881175335,1,0.960450493146277,1,0.893791978516752,0.316705552053115,0.919419477518196,0.437957100893629,0.528076998281222,1,0.991230810375526,0.807532615088113
"Constitutive Signaling by Aberrant PI3K in Cancer",0.940932010344607,0.718606807057944,1,0.0375426411394346,1,0.976644457301385,1,0.764355303654835,0.16646318442074,0.868510033018608,0.485272259999085,0.741964675557758,1,0.998595229168485,0.989339604109561
"Cellular responses to stress",1,0.0331691673142364,0.882738466194612,1,1.51585667531127e-73,0.953486337784336,1,1,1,1,1,1,1,1,0.809169761020064
"Condensation of Prophase Chromosomes",1,0.117483045273297,0.963193503222277,1,2.07161284802568e-21,1,1,0.893791978516752,0.824494520184627,1,1,1,0.965618311191726,1,1
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",1,1,0.773214861140704,0.379479118118766,0.932249357276235,0.661038956919227,1,0.893791978516752,1,1,1,0.753859757217839,1,1,1
"DAP12 signaling",0.940932010344607,1,0.882738466194612,0.00554180648048007,0.865977411889847,0.305255082728565,1,0.893791978516752,0.824494520184627,1,1,0.65086663669359,1,1,0.949519513860953
"Activation of gene expression by SREBF (SREBP)",0.950412296712533,1,0.909741487500433,1,1,1,1,1,1,1,0.749518823380512,0.472739300035385,1,0.759728491711621,4.58213397540898e-05
"IGF1R signaling cascade",1,1,0.773214861140704,0.379479118118766,0.932249357276235,0.661038956919227,1,0.893791978516752,1,1,1,0.753859757217839,1,1,1
"IRS-related events triggered by IGF1R",1,1,0.773214861140704,0.379479118118766,0.932249357276235,0.661038956919227,1,0.893791978516752,1,1,1,0.753859757217839,1,1,1
"Fc epsilon receptor (FCERI) signaling",0.940932010344607,1,0.839839538536474,0.0198896057834731,0.455072613662544,0.603359691081916,1,0.893791978516752,0.796871949106463,1,1,0.806027980113336,1,1,0.94713086162824
"Separation of Sister Chromatids",1,0.477700780903128,0.962251925668788,1,0.93675108637942,1,1,1,1,1,0.71723558953296,1,1,1,0.846197253939858
"Resolution of Sister Chromatid Cohesion",1,0.339646813911794,0.909741487500433,1,1,1,1,1,1,1,0.704366887421697,1,1,0.906732863727471,0.819717440801677
"Mitotic Metaphase and Anaphase",1,0.506227857928104,0.964408892706557,1,0.887464332296393,1,1,1,1,0.868510033018608,0.485272259999085,1,1,1,0.466750896020945
"Oxidative Stress Induced Senescence",1,0.331500491388837,0.964408892706557,1,5.07754638829925e-18,0.955943848701626,1,0.893791978516752,0.824494520184627,1,1,1,1,1,1
"Senescence-Associated Secretory Phenotype (SASP)",1,0.152472444008962,0.909741487500433,1,4.66764627138237e-25,0.892197579868866,1,0.893791978516752,0.843705189800094,1,1,1,0.90383722780576,1,1
"Cellular Senescence",1,0.241783453264514,0.96603565688981,1,2.40255489639704e-24,0.827897972890409,1,0.986911775219931,0.828769388003795,1,1,1,1,1,1
"DNA Damage/Telomere Stress Induced Senescence",0.997830753731865,0.106362421544333,0.909741487500433,1,1.41455729777475e-23,0.957299638383551,1,0.964197085447272,0.828769388003795,1,1,1,0.954493579752265,1,1
"Signaling by Leptin",1,1,0.743432963039314,0.371684570576914,0.883074985484915,0.611373175236103,1,0.905259637069578,1,1,1,0.878393140067727,1,1,1
"Signaling by NOTCH1 PEST Domain Mutants in Cancer",1,0.506227857928104,1,1,0.286090026850628,0.855899978824717,1,1,1,1,1,0.138702432773949,1,0.991230810375526,1
"Signaling by NOTCH1 in Cancer",1,0.506227857928104,1,1,0.286090026850628,0.855899978824717,1,1,1,1,1,0.138702432773949,1,0.991230810375526,1
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",1,0.506227857928104,1,1,0.286090026850628,0.855899978824717,1,1,1,1,1,0.138702432773949,1,0.991230810375526,1
"Stimuli-sensing channels",1,1,1,1,0.96085320480904,1,0.985556255140865,0.972374006051492,1,1,1,0.702357851295755,1,1,1
"EPH-Ephrin signaling",0.498889571370682,1,0.909741487500433,0.481397337409805,0.96085320480904,0.00402686731764713,1,0.96561864612229,0.843705189800094,0.781509356657648,1,0.138702432773949,1,1,1
"Role of LAT2/NTAL/LAB on calcium mobilization",0.940932010344607,0.869333871132554,1,0.0700988866389304,1,0.955943848701626,1,0.893791978516752,0.824494520184627,0.820885507573777,0.599865193052035,0.250510772315026,1,1,0.964074098622506
"FCERI mediated MAPK activation",1,1,0.773214861140704,0.171897963734308,0.699724485522446,0.622788496906004,1,0.893791978516752,1,1,1,0.999581074505524,1,1,1
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",1,0.506227857928104,1,1,0.286090026850628,0.855899978824717,1,1,1,1,1,0.138702432773949,1,0.991230810375526,1
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",1,0.506227857928104,1,1,0.286090026850628,0.855899978824717,1,1,1,1,1,0.138702432773949,1,0.991230810375526,1
"Peptide hormone metabolism",0.950412296712533,1,1,0.481809180790988,1,0.661038956919227,1,0.893791978516752,0.818985319688755,0.80109799982396,0.584837955276955,1,0.639656857864347,1,1
"SUMOylation",1,0.550190874330624,1,1,1,0.955943848701626,1,0.893791978516752,1,1,1,1,1,0.588996569862278,0.457404633772597
"Laminin interactions",0.280126004915591,1,0.972816056637447,1,0.96085320480904,1,1,1,1,1,1,0.609534033819601,1,0.998595229168485,0.969996908342811
"Syndecan interactions",1,1,1,0.139259044414042,1,1,1,9.85282357812679e-05,1,1,0.844043273483812,0.609534033819601,1,0.906732863727471,0.943183017861201
"Non-integrin membrane-ECM interactions",0.940932010344607,1,1,0.539734602534725,0.96085320480904,1,1,0.00425677679881672,1,1,1,0.331323421486994,1,0.998595229168485,1
"ECM proteoglycans",0.940932010344607,1,0.882738466194612,0.564470311251344,0.591940015756309,0.617733856543172,1,0.96561864612229,1,0.684006057386982,1,0.138702432773949,1,0.953991658870179,0.54696316819834
"SUMO E3 ligases SUMOylate target proteins",1,0.550190874330624,1,1,1,0.955943848701626,1,0.893791978516752,1,1,1,1,1,0.588996569862278,0.457404633772597
"HDACs deacetylate histones",1,0.188831932962206,0.882738466194612,1,8.59017067350258e-32,1,1,0.893791978516752,0.824494520184627,1,1,1,1,1,1
"PKMTs methylate histone lysines",0.940932010344607,0.702432304614647,1,1,0.000386999362708227,0.603359691081916,1,0.769953183166157,1,1,1,1,1,1,0.968567358537829
"HATs acetylate histones",1,0.135695354387152,0.773214861140704,1,1.45369105418743e-32,1,1,0.893791978516752,0.824494520184627,1,1,1,1,1,1
"RMTs methylate histone arginines",0.965316570327594,0.18041480380003,1,1,6.31005901331375e-16,1,1,0.893791978516752,0.843705189800094,1,1,1,0.678631931193417,1,1
"WNT ligand biogenesis and trafficking",0.996810801613628,1,0.0842445908880961,1,1,0.0388441413987822,0.668021395206974,0.941003911160806,0.541188378941776,1,0.574047063031031,0.144854305324663,0.131012691457541,1,0.654719847145477
"Chromatin modifying enzymes",1,0.179084377555567,0.882738466194612,1,5.20767784506442e-22,0.902163379484436,1,0.893791978516752,0.828769388003795,1,1,1,1,1,1
"TRP channels",0.997830753731865,1,1,1,0.96296012874245,1,0.989806395752503,1,1,1,0.99600148714089,0.647240940813261,0.97070563703497,1,0.916864124507893
"Regulation of HSF1-mediated heat shock response",1,0.0240110531683361,0.773214861140704,1,2.96476496714863e-76,1,1,1,1,0.792099193235908,1,1,1,0.231812441745979,0.547785128382701
"HSF1 activation",1,0.00578362052883389,0.773214861140704,1,1.60461497863356e-88,1,1,1,1,0.792099193235908,1,1,0.979519192019832,0.350650139220644,0.948708806253012
"Cellular response to heat stress",1,0.0128581561600809,0.743432963039314,1,6.99757702984274e-87,1,1,1,1,0.856818396571706,1,1,1,0.274141460432458,0.800071924440833
"Attenuation phase",1,0.00182056959343919,0.743432963039314,1,9.09983700055268e-100,1,1,1,1,0.741609784111952,1,1,1,0.231812441745979,0.466750896020945
"HSF1-dependent transactivation",1,0.00182056959343919,0.743432963039314,1,1.84782760518825e-104,1,1,1,1,0.792099193235908,1,1,1,0.350650139220644,0.686190852439221
"Metabolism of polyamines",0.997830753731865,0.708453550147941,1,1,0.96085320480904,1,0.57409119835345,1,1,0.798831961308796,0.752114168540826,1,0.639656857864347,0.991230810375526,0.739499719461578
"Amino acid transport across the plasma membrane",0.997830753731865,1,1,1,1,1,1,1,1,0.792099193235908,0.272249487542292,1,1,0.725686780253643,1
"Diseases associated with glycosaminoglycan metabolism",0.997830753731865,1,0.0842445908880961,0.700962686745212,1,1,1,0.893791978516752,1,0.888104841317087,0.58728573804925,0.273269544909102,1,1,0.873845754263471
"Defective B4GALT7 causes EDS, progeroid type",1,1,1,0.499748340821128,0.999432239150324,1,1,0.769953183166157,1,1,0.437957100893629,0.868887074893475,1,1,1
"Defective B3GAT3 causes JDSSDHD",1,1,1,0.499748340821128,0.999432239150324,1,1,0.769953183166157,1,1,0.437957100893629,0.868887074893475,1,1,1
"Transcriptional Regulation by TP53",0.997830753731865,0.0598482264007431,0.972816056637447,1,0.0602275528161175,0.855899978824717,1,0.98177117177248,0.915696367118753,0.792099193235908,0.437957100893629,1,0.90383722780576,1,0.648084233229305
"Signaling by GPCR",0.940932010344607,1,1,4.50295636639047e-06,0.302897420422492,0.13914611904099,1,1,0.933865870192201,1,1,0.999581074505524,1,1,0.364696802845234
"Class A/1 (Rhodopsin-like receptors)",0.980185103568674,1,1,2.4804217808117e-07,0.00546766363696594,0.844048085823033,0.703809419505032,1,1,1,1,1,1,0.998595229168485,0.00221545268190837
"Class B/2 (Secretin family receptors)",0.940932010344607,1,1,1,0.571225727688836,0.174507874225694,1,0.972374006051492,0.824494520184627,1,0.633648965866432,0.310419811771191,0.90383722780576,1,0.466750896020945
"Netrin-1 signaling",0.940932010344607,1,1,0.821372728777913,1,0.760974505178427,1,1,0.824494520184627,1,1,0.532469591681268,1,1,1
"Semaphorin interactions",1,0.363967075823762,0.882738466194612,0.853950800147363,0.544500249465279,0.0987407492325891,1,0.764355303654835,0.828769388003795,0.888104841317087,0.119404665885352,0.968533675857134,1,0.998595229168485,0.59604607368025
"L1CAM interactions",0.950412296712533,1,1,1,1,0.827897972890409,1,0.769953183166157,1,0.741609784111952,0.992438940077726,1,1,1,0.815566369076309
"NCAM signaling for neurite out-growth",0.940932010344607,1,0.743432963039314,0.196990903823167,0.847727839151324,0.758310390212092,1,1,0.995384055382422,1,1,0.818394802862791,1,1,1
"CDO in myogenesis",1,0.455195502458021,1,1,1,0.892197579868866,1,1,1,1,0.603432430764172,0.718409648956557,1,1,1
"Peptide ligand-binding receptors",1,1,1,7.98468496945901e-07,0.0798278832022317,0.855899978824717,1,1,1,1,1,1,1,0.997946724894548,0.00154154606054104
"Signaling by Robo receptor",1,1,0.963193503222277,1,1,0.978688935652835,1,0.893791978516752,1,1,0.337975282188905,0.154281321904789,1,1,1
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",1,1,0.773214861140704,1,1,1,1,1,1,1,0.0958496765420184,1,1,1,1
"Diseases of glycosylation",1,1,0.0842445908880961,0.452938720769157,1,1,1,0.986911775219931,1,1,0.71723558953296,0.909321559266936,1,1,1
"Chemokine receptors bind chemokines",0.950412296712533,0.6592881101456,1,1.38920453611527e-09,0.000815521915526426,0.661038956919227,1,1,1,1,1,1,0.987139808940778,0.929862712132447,2.6700954545497e-07
"Recruitment of mitotic centrosome proteins and complexes",0.975241489048828,0.424877755453512,0.962251925668788,1,0.356542466712993,1,1,1,1,0.942035344306735,0.743366468640872,1,0.799663472293743,1,0.819717440801677
"Centrosome maturation",0.975241489048828,0.424877755453512,0.962251925668788,1,0.356542466712993,1,1,1,1,0.942035344306735,0.743366468640872,1,0.799663472293743,1,0.819717440801677
"Recruitment of NuMA to mitotic centrosomes",0.940932010344607,0.863866979226223,1,1,0.888489285204453,1,1,1,1,0.866420295341354,0.735222272898064,1,0.639656857864347,1,0.625533468692413
"Unfolded Protein Response (UPR)",1,0.936207932503824,1,0.92867686143466,0.00983095940448641,1,1,1,1,0.792099193235908,0.832881112498183,1,0.957404818322442,0.453041151146774,0.362754363537793
"Transcriptional regulation of white adipocyte differentiation",1,0.889829828223895,0.972816056637447,0.123395020752065,0.0750009802308121,0.661038956919227,1,0.893791978516752,0.076885939110475,1,1,0.883891016623877,0.827696837499916,1,1
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,0.983568221413709,0.773214861140704,0.423216133162747,1,0.905573524164537,1,0.893791978516752,0.00485305153740554,1,0.64154413844372,0.562912903145688,0.174026845527231,1,0.962090125973293
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0.940932010344607,1,0.963193503222277,1,0.968066584319063,0.603359691081916,1,1,1,1,1,0.695906440689927,1,1,1
"Transmembrane transport of small molecules",0.940932010344607,1,1,1,1,0.939514225413178,0.475743371545441,0.893791978516752,1,1,1,0.276346487765566,1,0.991230810375526,1
"ABC-family proteins mediated transport",1,0.874134266696907,1,1,1,1,0.902961097585112,0.93300826661412,1,1,1,1,1,1,1
"Nuclear Receptor transcription pathway",0.950412296712533,1,0.909741487500433,1,0.93675108637942,1,1,1,0.962387022491523,1,1,0.412383499862105,1,0.774719607492208,0.448582165921452
"Beta-catenin independent WNT signaling",0.940932010344607,1,1,1,0.234802828611463,0.205759716265113,1,1,1,1,0.735950418874728,0.488910907273994,1,1,0.843411922195324
"GPCR downstream signaling",0.960234582188858,1,1,3.01107670189266e-08,0.363451843721676,0.633475728595202,1,1,0.828769388003795,1,1,1,1,1,0.59604607368025
"Costimulation by the CD28 family",0.042651136007512,1,0.773214861140704,2.23750088466713e-05,1,0.661038956919227,1,0.893791978516752,1.68109548360639e-12,1,0.968770049745446,0.818394802862791,0.639656857864347,0.839956048151439,0.0626832170029995
"CD28 co-stimulation",0.000149720891808924,0.598159022789889,1,0.10889090271377,1,0.827897972890409,0.891300595421248,0.421808729025946,0.000124126007886366,1,0.610382335389222,0.406564931186379,1,1,0.748362477752251
"CD28 dependent PI3K/Akt signaling",1.52684386446003e-07,0.374370151729629,1,0.402686918657092,1,0.822607419153326,0.693294538190907,0.893791978516752,0.295724598167558,1,0.844043273483812,0.364199838072912,1,0.991230810375526,0.748362477752251
"PD-1 signaling",0.940932010344607,1,1,9.89041630294341e-05,1,1,0.621388558378687,1,2.18282737220945e-09,1,1,1,0.131012691457541,0.994877495216091,0.457404633772597
"Post-chaperonin tubulin folding pathway",0.997830753731865,0.863866979226223,1,1,0.899670733693382,1,0.961178747261693,1,1,0.868510033018608,0.587458214095279,1,0.639656857864347,1,0.625533468692413
"Chaperonin-mediated protein folding",0.940932010344607,1,1,1,1,0.13914611904099,1,1,1,0.9084416463993,0.60965435419071,0.65524102926189,0.639656857864347,1,0.866091457486672
"Striated Muscle Contraction",1,1,1,1,0.531572982323599,1,1,1,0.843705189800094,0.868510033018608,1,1,0.639656857864347,1,1
"Diseases associated with O-glycosylation of proteins",1,1,0.773214861140704,0.53787835160244,1,1,1,1,1,1,0.968770049745446,1,0.982142623456919,1,1
"Protein folding",0.940932010344607,1,1,1,1,0.174507874225694,0.98777604231504,1,1,0.942035344306735,0.584837955276955,0.651872618297718,0.639656857864347,1,0.898285963996288
"Eicosanoid ligand-binding receptors",0.498889571370682,0.954338821472334,0.972816056637447,0.340108115953349,0.96085320480904,0.603359691081916,0.21393083110214,1,1,0.792099193235908,1,0.65524102926189,0.77778867090341,0.998595229168485,0.998946923561653
"Nitric oxide stimulates guanylate cyclase",1,1,1,0.388769839479227,1,1,0.952294524291586,1,0.927836539648885,1,1,1,1,0.839956048151439,1
"G beta:gamma signalling through PI3Kgamma",0.0428748846418393,1,0.882738466194612,0.570868134244568,1,0.602041146936682,1,0.893791978516752,1,1,1,0.539356621773756,1,1,0.819717440801677
"Metabolism of proteins",1,1,1,0.318384964847385,0.000211686339314456,0.603359691081916,1,0.955524554317561,0.828769388003795,1,0.844043273483812,1,0.639656857864347,1,1
"Signal amplification",0.892848697518085,1,0.983322603575612,0.339664861711868,1,0.764351276763774,1,0.941003911160806,1,1,1,0.441847254793788,0.904966018845183,1,1
"EPHB-mediated forward signaling",0.296350764649631,1,1,0.348955711260938,1,0.205759716265113,1,0.893791978516752,0.824494520184627,0.789529272928072,1,0.959049790877828,1,1,1
"EPHA-mediated growth cone collapse",0.892848697518085,1,0.773214861140704,0.707863087392648,0.74029836849407,9.9655564136155e-05,1,1,0.824494520184627,1,0.968770049745446,0.138702432773949,1,1,1
"EPH-ephrin mediated repulsion of cells",0.975241489048828,1,0.963193503222277,0.272573337997222,0.999432239150324,0.955943848701626,1,1,0.824494520184627,0.792099193235908,1,0.35767486086663,1,0.991230810375526,1
"Muscle contraction",1,1,0.773214861140704,1,0.883074985484915,0.955943848701626,1,0.893911114592128,1,0.868510033018608,0.962313131139901,0.909321559266936,0.90383722780576,1,1
"G-protein beta:gamma signalling",0.0557712049311645,1,0.909741487500433,0.352228329009941,1,0.603359691081916,1,0.893791978516752,1,1,1,0.609534033819601,1,1,0.819717440801677
"Adrenaline,noradrenaline inhibits insulin secretion",0.940932010344607,1,0.773214861140704,1,1,0.603359691081916,1,0.980125550005823,1,0.942035344306735,0.727188100744494,0.703107211075076,0.954493579752265,1,1
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)",1,1,0.963193503222277,0.529626452042809,0.955802078751421,0.991907600563311,1,0.893791978516752,0.843705189800094,1,1,1,1,1,0.809169761020064
"Circadian Clock",0.940932010344607,1,1,1,0.356542466712993,1,1,0.893791978516752,0.828769388003795,0.684006057386982,1,0.643606961782654,1,1,0.465423291098213
"Ca2+ pathway",0.772828264999374,1,1,1,0.236630126058478,0.033745186932298,1,0.951434814000343,1,1,0.911235924332644,0.329267597413681,1,1,0.992453714771702
"PCP/CE pathway",1,1,1,1,0.849152061211835,1,1,1,0.843705189800094,1,0.337975282188905,0.65524102926189,1,0.991230810375526,0.623177256484696
"G alpha (q) signalling events",0.940932010344607,0.99298208862727,1,0.00118504588684381,1,0.603359691081916,0.835097429762924,0.972374006051492,0.824494520184627,0.866420295341354,1,1,1,1,1
"G alpha (12/13) signalling events",0.940932010344607,1,1,1,1,0.555784227122832,1,0.986911775219931,1,0.942035344306735,0.272249487542292,0.370208548902937,1,1,1
"Other semaphorin interactions",0.975241489048828,0.634730637098907,0.962251925668788,0.862904867187829,1,0.768556417369499,0.94520762556141,0.764355303654835,1,0.741609784111952,0.485272259999085,0.909321559266936,0.979519192019832,0.991230810375526,0.762391804890699
"Platelet homeostasis",0.940932010344607,1,1,0.828602184614626,1,0.603359691081916,0.717936999012019,0.972374006051492,1,1,1,1,0.79198472400419,0.839956048151439,1
"G alpha (s) signalling events",0.940932010344607,1,1,0.182896907374228,0.526617172877594,0.767600826160657,1,0.99112438262703,0.933865870192201,1,1,0.878393140067727,1,1,1
"ADP signalling through P2Y purinoceptor 1",0.940932010344607,1,1,0.210189685252801,1,0.661038956919227,1,0.905259637069578,1,1,1,0.434710851595653,0.954493579752265,1,1
"G alpha (i) signalling events",0.940932010344607,1,1,8.01974410326267e-05,0.0700891338571216,0.661038956919227,0.734038319321727,1,1,1,1,1,0.954493579752265,1,0.00514253971858874
"G alpha (z) signalling events",0.940932010344607,1,0.972816056637447,0.313410123856818,1,0.374152995413779,0.85660811179771,0.893791978516752,0.465564652125551,1,0.603432430764172,0.968533675857134,0.921043880078693,1,1
"Adherens junctions interactions",1,0.305799393641962,1,0.873649182253499,1,0.955943848701626,1,1,0.59871671662693,0.868510033018608,0.64154413844372,0.398693851739113,1,1,0.380826093138224
"NCAM1 interactions",0.892848697518085,1,0.964408892706557,0.197344543503459,1,1,1,1,0.677194082582095,0.792099193235908,1,0.539356621773756,0.954493579752265,0.964909495711785,1
"Tight junction interactions",1,0.91881812962914,0.882738466194612,1,0.402488250205576,0.617733856543172,1,1,1,1,0.844043273483812,0.174661086712757,0.921043880078693,0.992311874404621,0.457404633772597
"Class C/3 (Metabotropic glutamate/pheromone receptors)",1,0.876231437176328,1,1,1,1,0.291089517820074,1,1,0.908022535624153,1,1,1,0.998595229168485,1
"Cell-cell junction organization",1,0.382862342157039,0.958438008240562,1,0.932249357276235,0.668972612776339,1,1,0.824494520184627,0.892259144266528,0.611086080660675,0.138702432773949,1,1,0.13413607214114
"Clathrin derived vesicle budding",1,0.650655503833664,0.981023355875457,1,1,1,1,1,1,1,1,0.878393140067727,1,1,0.807532615088113
"Regulation of insulin secretion",0.940932010344607,1,0.961218840334921,0.834590262974671,1,0.930625125158283,1,0.969858130735372,1,1,1,1,0.68273567767101,1,1
"Axon guidance",0.940932010344607,1,0.773214861140704,0.487918249414046,1,0.603359691081916,1,0.893791978516752,0.828769388003795,0.792099193235908,0.69311952964078,0.47492783372243,1,1,1
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",0.940932010344607,1,1,1,1,1,0.271252730992229,0.893791978516752,1,1,1,1,0.957404818322442,0.790426527999637,1
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.940932010344607,0.753858465312025,1,0.93213936198143,1,0.661038956919227,0.68856868495946,0.746851969853535,0.956613628733309,1,0.735950418874728,0.510894155364007,1,0.847507630691443,1
"Transport of vitamins, nucleosides, and related molecules",0.975241489048828,0.434356991676036,0.0842445908880961,0.869329567811452,1,0.939633410461733,1,1,1,1,1,0.138702432773949,0.989466964558439,1,0.807532615088113
"SLC-mediated transmembrane transport",0.940932010344607,0.868862802522719,1,1,1,0.930625125158283,0.291089517820074,0.774739432487997,1,1,1,0.384170356043636,1,0.734412573890908,1
"SIRT1 negatively regulates rRNA Expression",1,0.088828574230309,0.962251925668788,1,1.85803444968168e-24,1,1,0.893791978516752,0.824494520184627,1,1,1,0.942340518833362,1,1
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",1,0.117483045273297,0.909741487500433,1,6.22597882054241e-23,1,1,0.893791978516752,0.824494520184627,1,1,1,0.90383722780576,1,1
"NoRC negatively regulates rRNA expression",1,0.117483045273297,0.964408892706557,1,2.24385090991176e-24,1,1,0.893791978516752,0.824494520184627,1,1,1,0.954493579752265,1,1
"Sphingolipid metabolism",0.940932010344607,1,1,1,0.344064383334529,1,1,0.893791978516752,1,0.792099193235908,0.485272259999085,1,0.90383722780576,1,0.0533434115703923
"Thromboxane signalling through TP receptor",0.479277484111038,1,1,0.350149352866841,1,0.622788496906004,0.945648028760506,0.972374006051492,1,1,1,0.530423591167088,0.910220061121669,1,1
