"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Metabolism",0.921251407091753,0.916176170230795,0.827036954570265,1,1,0.884698710906838,0.877877699409339,0.867869356168613,0.340174077889403,1,1,0.913947534372686,1,1,1
"Signaling by SCF-KIT",0.921251407091753,0.838616187500603,0.805064124150259,1,1,0.884698710906838,0.0661547596200142,0.966813171481019,0.683250407876248,1,0.740849229240549,1,0.765391567880823,1,1
"Regulation of KIT signaling",0.941274463045623,1,0.638566224691739,1,0.923094791540416,0.884698710906838,0.531801763136218,1,1,1,1,1,0.788275402133454,1,1
"Collagen degradation",1,0.482252486709344,1,0.999541596699227,1,1,0.751571372404771,1,0.964567308333699,1,0.802282748390526,1,0.726591343041619,0.841086927536784,1
"Translocation of GLUT4 to the plasma membrane",1,0.692385435554933,0.830041469265514,1.19053167101674e-17,1,0.975778416964785,0.00119255112006293,1,1,1,1,0.320631367457142,1,0.00509495113580048,1
"Degradation of the extracellular matrix",1,0.482252486709344,1,0.928502310374258,1,1,1,1,0.610227565612001,0.931311470322725,1,1,0.764292392698973,0.92258318159625,1
"Extracellular matrix organization",0.973385125703499,0.533507482598585,1,1,0.97831321361693,0.964121468307994,1,0.966813171481019,0.493480144604868,0.726160774246008,1,1,0.858369239096864,1,0.922249480322024
"Collagen formation",1,0.969352988603476,1,1,1,1,1,1,1,1,1,1,1,0.92258318159625,1
"O2/CO2 exchange in erythrocytes",1,1,1,1,1,1,1,1,1,0.509284016698543,1,1,0.726591343041619,1,1
"Acyl chain remodelling of PE",0.973385125703499,0.991154809396689,0.764312928227218,1,0.981999844035136,0.0245969775538977,1,1,0.61012280951617,1,1,0.983964308090116,1,1,1
"Glycerophospholipid biosynthesis",0.873518379258882,0.916176170230795,0.845593362179372,1,0.852791930724751,0.102777093856083,1,0.966813171481019,0.802685593144212,0.87895008279697,1,1,1,1,1
"Inositol phosphate metabolism",0.988697214602234,0.897041313641161,0.752959696374978,1,0.702723663253215,0.974494496892179,1,0.645886938241375,1,0.997048169789662,1,1,1,1,1
"PI Metabolism",1,1,0.642170549585863,1,0.920799376633248,1,0.563584667894224,0.845602388073427,1,1,0.699075600671349,1,0.993004839365602,0.92258318159625,1
"Phospholipid metabolism",0.921251407091753,1,0.732399537372303,1,0.852791930724751,0.680914347463731,0.892601047256611,0.850993497346849,1,0.929469498654131,1,1,1,1,1
"Meiosis",1,1,1,2.97792577140615e-05,1,1,0.523620750978141,1,1,0.844633445038524,1,0.776739496100465,1,3.82572066083543e-06,1
"Cell-Cell communication",1,1,1,1,1,0.974494496892179,0.877877699409339,0.735422021521995,1,0.929469498654131,1,1,1,1,0.733485242508434
"Phase II conjugation",0.965039012553306,0.838616187500603,1,1,0.920799376633248,1,1,1,0.763273801738277,0.929469498654131,1,1,1,1,1
"Glutathione conjugation",1,0.937663182635798,1,1,1,1,1,0.845113034679278,0.543063259681416,0.726160774246008,1,0.963130459129411,1,1,1
"Elastic fibre formation",1,0.838616187500603,0.865921463910232,1,0.95148017116668,0.884698710906838,1,1,1,0.814886402581701,1,1,0.726591343041619,0.955650195494232,1
"Signaling by NOTCH",1,1,0.07014258715804,1,1,1,0.950835761187036,0.395986109573287,1,1,0.719653216999229,1,1,0.937528920984989,0.77531106828556
"Telomere Maintenance",0.973385125703499,1,1,0.000119342545971193,1,1,1,1,1,0.907732002383493,1,0.354389640050211,1,1.31248459089728e-08,1
"Gap junction trafficking and regulation",1,1,1,2.29776595022464e-08,1,1,0.243154009965696,1,1,1,1,1,0.941671005741709,0.174114061757821,1
"Metabolism of nucleotides",0.921251407091753,0.838616187500603,0.638566224691739,0.784491388442086,0.980209997691596,1,1,0.95088343889052,0.946292977509424,1,1,0.749416271469753,1,0.92258318159625,1
"Activation of Matrix Metalloproteinases",0.938876804418432,0.482252486709344,1,0.807237617162176,1,1,1,1,0.625945807468801,0.929469498654131,1,1,1,1,0.776549978723462
"Signal Transduction",1,1,0.765067428521458,0.976318922445146,1,0.928361436858696,0.00715377264616776,0.966813171481019,0.493480144604868,0.853351693818759,0.903257594227425,1,1,0.952844977368496,1
