"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Generation of second messenger molecules",1,1,1,1,0.712221335322824,1,1,1,1,1,0.817579718085401,0.0559705695672569,1,0.381961191807142,1
"Cell surface interactions at the vascular wall",1,1,0.752959696374978,0.717535119467107,0.587198585388869,0.842747819271451,0.399851884518316,0.848085982011822,0.650325456546898,0.830718114136172,1,0.921246132445516,1,1,1
"Fcgamma receptor (FCGR) dependent phagocytosis",0.960901742018022,0.916176170230795,0.652062042940129,1,0.897015704369984,1,1,1,0.915973139213632,0.997048169789662,0.865426025475263,0.158165370634289,1,0.990749881818151,1
"FCGR activation",1,0.969215363308866,0.707937499710665,1,0.968626550757117,0.967167679640819,1,1,0.687316489385257,1,0.832640307771702,0.0523604309427589,1,0.937899282618852,1
"Regulation of actin dynamics for phagocytic cup formation",1,0.838616187500603,1,0.841841881909877,0.852791930724751,1,0.979008489224666,1,0.796202372994647,1,0.778985982256586,0.913947534372686,1,0.944638665282935,1
"eNOS activation and regulation",0.921251407091753,1,1,1,1,0.884698710906838,0.963527372318109,0.845113034679278,1,1,1,0.981272239070455,1,0.956645453154011,0.791673996195639
"Cell death signalling via NRAGE, NRIF and NADE",0.973385125703499,1,0.638566224691739,1,0.99396395007802,0.680914347463731,0.639280961591502,0.966813171481019,1,0.889291826049683,1,1,0.818624383491669,1,0.739309555776191
"Glutamate Neurotransmitter Release Cycle",1,0.827231948989875,0.860681916225133,1,1,0.975324499902382,0.412093106271377,1,1,0.985205423606217,1,0.993488954672647,0.934634122118371,0.92258318159625,0.654821051022011
"Basigin interactions",1,1,1,0.987107079268312,1,1,0.0475255302695692,0.645886938241375,1,1,1,1,0.993004839365602,0.952844977368496,1
"Gene Silencing by RNA",1,1,1,0.012909406659036,1,1,1,1,1,0.844633445038524,1,0.681949017166022,1,0.000350499037613149,1
"Biological oxidations",1,0.838616187500603,1,1,1,1,1,1,0.0390353001524597,1,1,0.89396850501489,1,0.973505781259604,0.922249480322024
"Cytochrome P450 - arranged by substrate type",1,0.751644530146725,1,1,1,1,1,1,0.363360473056315,1,1,0.781044548100665,0.726591343041619,0.937528920984989,0.853954419785563
"Phase 1 - Functionalization of compounds",1,0.923383431714299,1,1,1,1,1,1,0.0162182886823689,1,1,0.675931062461985,0.986890415107667,0.92258318159625,0.708616445625697
"Endogenous sterols",1,0.916176170230795,1,1,1,1,1,1,0.100038823417461,1,1,0.671345746549936,0.764292392698973,0.92258318159625,1
"Epigenetic regulation of gene expression",1,1,1,0.00350983794578494,1,1,0.668070747383927,1,1,0.726160774246008,1,0.0955286419628677,1,5.17050729553454e-06,1
"NOTCH1 Intracellular Domain Regulates Transcription",1,1,0.00950868722113046,1,1,1,0.956770321324607,0.369095828445181,0.977353131067883,0.864736327218512,0.699075600671349,0.633838144361864,1,1,1
"Activated NOTCH1 Transmits Signal to the Nucleus",0.973385125703499,1,0.607108506189429,1,1,0.680914347463731,0.484425428813563,0.896627060353601,1,1,0.991782288283951,1,1,0.976304418407768,0.91513735976642
"PRC2 methylates histones and DNA",1,1,1,0.000298140976240371,1,1,0.92893579302245,1,1,0.726160774246008,1,0.158165370634289,1,2.70542849467967e-08,1
"Generic Transcription Pathway",0.873518379258882,1,0.845593362179372,0.941742957688865,1,1,5.62970032405406e-05,1,1,1,3.66541370780531e-06,1,0.726591343041619,0.944638665282935,1
"Dopamine Neurotransmitter Release Cycle",1,0.482252486709344,0.752959696374978,1,1,1,0.527793946045625,0.966813171481019,0.690805874243145,0.985205423606217,0.970053251061347,0.936065122556379,1,0.118800102708816,0.711043896899845
"Molecules associated with elastic fibres",0.995552494593061,0.986747976387307,1,1,0.90299778207443,0.822236136624347,1,1,0.977353131067883,0.853351693818759,1,1,0.726591343041619,0.92258318159625,1
"MHC class II antigen presentation",1,0.838616187500603,1,1.63794250151134e-07,0.852791930724751,1,0.0502101217750471,1,0.918124693182469,1,1,0.347341200276236,1,0.103558975994104,1
"Arachidonic acid metabolism",0.921251407091753,1,0.986781973684315,1,0.963350160494458,0.834548185187571,1,1,0.192028948798485,1,1,1,0.970843988068196,1,1
"Integrin cell surface interactions",1,0.969215363308866,0.732181700795916,1,0.544463056694053,0.743850095325499,1,1,1,1,1,0.942964541216242,0.726591343041619,1,1
"DAP12 interactions",0.9450760209048,0.916176170230795,0.806552173574868,1,1,0.884698710906838,0.338626345323725,0.993341722894549,0.0360414504823041,0.994324371435758,0.699075600671349,1,0.941671005741709,1,1
"Binding and Uptake of Ligands by Scavenger Receptors",1,0.838616187500603,0.752959696374978,0.448407308276076,0.705643907483977,1,0.433475419708313,1,1.46850896687205e-08,0.929469498654131,1,1,1,0.950222966960289,1
"Visual phototransduction",0.873518379258882,0.838616187500603,0.922141386590307,1,1,0.948401879880456,0.877877699409339,1,0.655724535279611,1,1,1,1,0.966268783111832,1
"PI3K/AKT Signaling in Cancer",0.975054358443391,1,1,1,1,1,0.484425428813563,0.968716347953881,0.348342682123449,0.997048169789662,0.699075600671349,1,0.993004839365602,1,1
"Constitutive Signaling by Aberrant PI3K in Cancer",0.973385125703499,1,1,1,1,1,1,0.966813171481019,0.192028948798485,0.967524523336378,0.762393769336534,1,0.941671005741709,1,1
"Cellular responses to stress",1,1,1,0.00125970172028219,1,1,1.56061634127484e-06,1,1,0.82891230361322,0.0921212162519669,0.0557297177707193,1,0.0553495452739389,1
"Condensation of Prophase Chromosomes",1,1,1,0.000646075039504028,1,1,1,1,1,0.784202911902491,1,0.183729652754016,1,2.70542849467967e-08,1
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",0.921251407091753,0.916176170230795,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.699075600671349,1,0.764292392698973,0.966631533783508,1
"DAP12 signaling",0.938876804418432,0.846951548749825,0.826715989736394,1,1,0.892944928931728,0.311367797424762,0.966813171481019,0.744045229182426,0.985205423606217,0.699075600671349,1,0.870129819853003,1,1
"Activation of gene expression by SREBF (SREBP)",1,0.051140776668593,1,0.464218246905225,0.814403675844228,0.878576387565657,0.0526919346729813,0.623418153323383,1,0.698303924726301,1,0.89396850501489,0.726591343041619,0.966631533783508,1
"IGF1R signaling cascade",0.921251407091753,0.916176170230795,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.699075600671349,1,0.764292392698973,0.966631533783508,1
"IRS-related events triggered by IGF1R",0.921251407091753,0.916176170230795,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.699075600671349,1,0.764292392698973,0.966631533783508,1
"Fc epsilon receptor (FCERI) signaling",0.973385125703499,0.962704013520131,0.998690059361523,1,1,1,0.123619513186565,1,0.526887127971355,1,0.699075600671349,1,0.982654669905222,0.92258318159625,1
"Separation of Sister Chromatids",1,1,1,1.39937718407799e-07,1,1,0.00133583197424158,1,1,1,1,0.126059677071422,0.726591343041619,0.0731457225602324,0.883352008619026
"Resolution of Sister Chromatid Cohesion",1,1,1,3.61125507377248e-08,1,1,0.00178201543144008,1,1,1,1,0.169848374542973,0.726591343041619,0.103558975994104,0.819595711081036
"Mitotic Metaphase and Anaphase",1,0.916176170230795,1,7.81359316216837e-11,1,1,1.30563599133287e-05,1,1,1,1,0.158165370634289,0.726591343041619,0.103558975994104,0.922249480322024
"Oxidative Stress Induced Senescence",1,1,0.830041469265514,0.00614390109155724,1,1,0.758219874883882,1,1,0.889291826049683,0.970053251061347,0.00029814071943231,1,1.09826582441788e-05,1
"Senescence-Associated Secretory Phenotype (SASP)",0.995552494593061,1,1,0.000273258366675758,1,1,0.475509654888096,1,0.925738325085629,0.929469498654131,0.699075600671349,0.127946860303078,1,8.12046355234311e-07,1
"Cellular Senescence",1,1,0.917224246586891,5.89321782392693e-05,1,1,0.04341763053826,1,1,0.726160774246008,0.713157840807388,0.000470997247660605,1,0.000190680230161017,1
"DNA Damage/Telomere Stress Induced Senescence",0.973385125703499,1,1,0.00305044454441345,1,1,0.400092610815026,1,1,0.698303924726301,1,0.107692528247675,1,8.12046355234311e-07,1
"Signaling by Leptin",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.778985982256586,1,0.888584354438716,0.947588681065154,1
"Signaling by NOTCH1 PEST Domain Mutants in Cancer",1,1,0.0481272629327488,1,1,1,0.531801763136218,0.369095828445181,1,0.844633445038524,1,0.942964541216242,1,1,0.883352008619026
"Signaling by NOTCH1 in Cancer",1,1,0.0481272629327488,1,1,1,0.531801763136218,0.369095828445181,1,0.844633445038524,1,0.942964541216242,1,1,0.883352008619026
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",1,1,0.0481272629327488,1,1,1,0.531801763136218,0.369095828445181,1,0.844633445038524,1,0.942964541216242,1,1,0.883352008619026
"Stimuli-sensing channels",0.951649749954291,0.903125791131217,0.998690059361523,1,1,1,1,1,1,0.929469498654131,1,1,1,0.950222966960289,0.739309555776191
"EPH-Ephrin signaling",1,1,1,1,1,1,0.311367797424762,0.981697267591483,0.809323452301555,1,1,1,1,1,1
"Role of LAT2/NTAL/LAB on calcium mobilization",1,1,0.998690059361523,1,1,1,0.669312047669773,0.966813171481019,0.12259805443971,0.985205423606217,0.699075600671349,1,0.996922181806504,1,1
"FCERI mediated MAPK activation",0.938876804418432,0.838616187500603,1,1,1,0.9643110934421,0.271731239250179,1,0.308875921827381,1,0.699075600671349,1,0.993004839365602,0.805415060705168,1
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",1,1,0.0481272629327488,1,1,1,0.531801763136218,0.369095828445181,1,0.844633445038524,1,0.942964541216242,1,1,0.883352008619026
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",1,1,0.0481272629327488,1,1,1,0.531801763136218,0.369095828445181,1,0.844633445038524,1,0.942964541216242,1,1,0.883352008619026
"Peptide hormone metabolism",1,1,0.830041469265514,0.19121026642044,0.852791930724751,1,1,0.871820977525699,0.6336088950917,0.95982886716971,1,0.964949547656475,1,1,0.801352213036798
"SUMOylation",0.995552494593061,1,1,0.67222219442937,0.883778846788155,0.948401879880456,0.482351287938163,1,0.874786178272396,1,0.778361755362858,0.0523604309427589,1,0.966631533783508,1
"Laminin interactions",1,0.927319047850739,1,1,1,0.125201655866905,1,0.966813171481019,0.58041209061755,0.750453812896256,1,1,0.726591343041619,0.928479938629071,0.77531106828556
"Syndecan interactions",0.973385125703499,0.838616187500603,0.844267941877808,1,0.615206524937696,1,0.311947081752613,1,0.463798329704069,1,1,1,0.726591343041619,1,1
"Non-integrin membrane-ECM interactions",0.941274463045623,0.659742063606012,0.998690059361523,1,0.852791930724751,0.680914347463731,0.311367797424762,1,0.543063259681416,0.929469498654131,1,1,0.726591343041619,1,1
"ECM proteoglycans",1,0.738514406527261,1,1,0.814403675844228,0.798852672699737,0.872921164459048,1,0.885710589602971,1,1,1,0.787782185856427,1,0.686629622564246
"SUMO E3 ligases SUMOylate target proteins",0.995552494593061,1,1,0.67222219442937,0.883778846788155,0.948401879880456,0.482351287938163,1,0.874786178272396,1,0.778361755362858,0.0523604309427589,1,0.966631533783508,1
"HDACs deacetylate histones",1,1,1,0.00897385890667192,1,1,1,1,1,0.726160774246008,1,0.266545164025528,1,0.00468979171348205,1
"PKMTs methylate histone lysines",1,1,1,0.558404040469917,1,1,0.47255833567482,1,1,0.120888861019815,0.991782288283951,0.856593145929156,1,0.0540621732700753,1
"HATs acetylate histones",0.995552494593061,1,1,0.0051423762936614,1,1,1,1,1,0.282306302715134,1,0.409107579644812,1,0.0017585143981876,1
"RMTs methylate histone arginines",1,1,1,0.00343974170526622,1,1,1,1,1,0.440035849670763,1,0.82396209950077,1,2.99395760242474e-05,1
"WNT ligand biogenesis and trafficking",0.938876804418432,1,1,0.0460514676399206,1,0.680914347463731,1,0.893239179502612,1,0.844633445038524,0.699075600671349,1,1,1,1
"Chromatin modifying enzymes",1,1,1,0.00979565698040591,1,1,0.492616574233913,1,1,0.698303924726301,1,0.613816535084442,1,0.00846667620262413,1
"TRP channels",0.973385125703499,0.692385435554933,0.950562045000848,1,1,0.791810446242303,1,0.926753510727321,1,0.96138765143272,0.856103177053188,0.964949547656475,0.818624383491669,1,0.956951090232513
"Regulation of HSF1-mediated heat shock response",1,0.916176170230795,1,0.662712218406139,1,0.884698710906838,0.243154009965696,1,1,1,0.097597071296257,1,0.787782185856427,1,1
"HSF1 activation",1,1,1,0.509201373750965,1,0.743850095325499,0.25509188959485,1,1,1,0.000559457608208604,1,0.759427439575813,1,1
"Cellular response to heat stress",1,1,1,0.466157638041366,1,0.974494496892179,0.0363758908590722,1,1,1,0.00324150092387233,1,0.740807621983679,1,1
"Attenuation phase",1,1,1,0.487500186340853,1,0.834548185187571,0.0897350224777837,1,1,1,0.0146068298290589,1,0.812568019769129,1,1
"HSF1-dependent transactivation",1,1,1,0.448407308276076,1,0.920200663371076,0.0147403802656493,1,1,1,0.000464732237223442,1,0.740807621983679,1,0.978895637118075
"Metabolism of polyamines",1,1,1,0.82536594366908,0.851736157291333,1,0.758219874883882,0.966813171481019,0.661093050340981,1,0.991782288283951,1,1,0.92258318159625,1
"Amino acid transport across the plasma membrane",1,0.838616187500603,0.860681916225133,1,0.929106823106993,1,0.0865178080504002,0.551236304431307,0.809323452301555,0.985205423606217,1,0.897412854730277,0.941671005741709,1,1
"Diseases associated with glycosaminoglycan metabolism",0.973385125703499,0.838616187500603,0.950562045000848,1,0.839942589653728,0.929043014412057,0.531801763136218,1,0.0964766416643611,1,0.774373580292256,1,1,0.966631533783508,0.922249480322024
"Defective B4GALT7 causes EDS, progeroid type",0.938876804418432,0.838616187500603,0.835691405326445,1,0.838226471305104,0.856284043820866,0.377463407811136,1,0.0359843556542804,1,0.991782288283951,1,1,1,0.819595711081036
"Defective B3GAT3 causes JDSSDHD",0.938876804418432,0.838616187500603,0.835691405326445,1,0.838226471305104,0.856284043820866,0.377463407811136,1,0.0359843556542804,1,0.991782288283951,1,1,1,0.819595711081036
"Transcriptional Regulation by TP53",1,1,0.763462875775664,0.102924051844583,1,1,3.0574166438252e-06,1,1,1,0.699075600671349,0.69694576525558,0.946660786015837,0.928479938629071,1
"Signaling by GPCR",1,0.962704013520131,1,1,1,0.948401879880456,0.41297507456049,0.981697267591483,0.00140557362254891,1,0.699075600671349,1,1,1,0.648265540002082
"Class A/1 (Rhodopsin-like receptors)",1,1,1,1,1,1,1,0.993341722894549,4.5592754795089e-08,1,0.699075600671349,1,1,0.943778211184889,0.636292343348971
"Class B/2 (Secretin family receptors)",1,1,0.638566224691739,0.1247367990122,1,1,0.468499227657078,0.892706446932477,1,0.985205423606217,0.894898003374721,1,1,1,1
"Netrin-1 signaling",1,0.482252486709344,0.638566224691739,1,0.733032839940415,0.856284043820866,0.909760803309133,0.845113034679278,1,0.954359248457162,0.699075600671349,0.9090971493194,0.930538949910426,1,1
"Semaphorin interactions",0.995552494593061,1,0.707937499710665,1,1,0.973895793224523,0.877877699409339,0.966813171481019,1,0.522248735645796,1,0.99908146309954,1,0.92258318159625,1
"L1CAM interactions",1,0.482252486709344,0.830041469265514,0.00107824949327607,0.90299778207443,1,0.402794815399206,1,1,1,1,1,0.790261057831926,0.890601837725443,1
"NCAM signaling for neurite out-growth",0.938876804418432,0.838616187500603,1,1,1,0.930586646807689,0.328050881812047,1,0.692803464314823,1,0.778361755362858,1,0.928224049539804,0.966631533783508,1
"CDO in myogenesis",1,0.999804251312358,0.800775121328508,1,1,0.878576387565657,1,1,1,0.929469498654131,1,1,1,1,0.95532844379529
"Peptide ligand-binding receptors",1,0.841146558118123,1,1,1,1,0.936746644457947,1,5.01817937721804e-06,0.954359248457162,1,1,1,0.973505781259604,1
"Signaling by Robo receptor",0.941274463045623,0.923383431714299,1,0.343409517813517,0.792033067778341,1,1,1,1,1,1,1,1,0.973505781259604,0.732539791425606
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.921251407091753,1,1,1,0.90299778207443,0.0609046465378654,1,1,0.876669016846428,0.175687220378846,1,1,0.810592174349977,0.956888546549404,1
"Diseases of glycosylation",1,0.797370559722531,1,1,0.90299778207443,1,0.829938734728113,0.985897155664968,0.209232351593052,0.997048169789662,0.767455918976054,1,1,0.92258318159625,0.633995111159967
"Chemokine receptors bind chemokines",1,0.756892576218805,1,1,1,1,0.492616574233913,1,1.60017016727075e-06,0.853351693818759,0.858796956692643,1,1,1,1
"Recruitment of mitotic centrosome proteins and complexes",1,0.838616187500603,0.860681916225133,4.2841737850671e-16,1,1,0.00178201543144008,0.966813171481019,1,1,1,0.354627114529264,0.941671005741709,0.00761500997453614,1
"Centrosome maturation",1,0.838616187500603,0.860681916225133,4.2841737850671e-16,1,1,0.00178201543144008,0.966813171481019,1,1,1,0.354627114529264,0.941671005741709,0.00761500997453614,1
"Recruitment of NuMA to mitotic centrosomes",1,0.675454635129873,0.752959696374978,1.22388149260175e-18,1,1,0.00133937767596978,0.845113034679278,1,1,1,0.414849486152725,0.994088277809021,0.00340592846773827,1
"Unfolded Protein Response (UPR)",1,0.838616187500603,0.830041469265514,0.13507547966077,0.999709363621903,1,1.65523575782977e-06,1,0.220128576305295,1,0.793531550367015,1,1,1,0.733485242508434
"Transcriptional regulation of white adipocyte differentiation",0.921251407091753,1,0.00136910386113719,0.448407308276076,0.917819479349017,1,0.514765263669519,1,0.00101331273816022,0.929469498654131,1,0.418985763889305,1,1,1
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",0.921251407091753,0.870881348480389,1,0.784491388442086,1,1,1,1,1,0.998617570413214,1,1,1,0.966631533783508,0.708616445625697
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",1,1,0.638566224691739,1,1,0.884698710906838,1,0.632265766837572,1,0.992713295248809,0.933586160808178,0.856593145929156,0.765391567880823,1,1
"Transmembrane transport of small molecules",1,1,0.827036954570265,1,1,1,1,0.966813171481019,1,0.905565193723517,0.858796956692643,1,0.994088277809021,1,0.636292343348971
"ABC-family proteins mediated transport",0.989663863940107,0.838616187500603,0.860681916225133,0.964466651631393,0.838226471305104,0.884698710906838,1,1,0.825602881272418,0.929469498654131,0.0162358007786264,0.474361603388688,1,1,0.77531106828556
"Nuclear Receptor transcription pathway",0.973385125703499,0.482252486709344,0.607108506189429,1,1,1,0.000101498350351203,1,1,0.907732002383493,1,1,0.946660786015837,0.966268783111832,1
"Beta-catenin independent WNT signaling",0.938876804418432,0.962262124525389,0.38009937140085,0.706960818587245,0.920799376633248,0.842747819271451,0.597135774983926,0.418551946304185,1,0.086064156438642,1,0.675931062461985,1,1,1
"GPCR downstream signaling",1,0.999600191184885,1,1,1,1,0.93619245067949,0.966813171481019,0.00054309814077159,1,0.699075600671349,1,1,1,0.633995111159967
"Costimulation by the CD28 family",1,1,0.950817789894691,1,0.814403675844228,1,1,0.966813171481019,1,1,0.930500273625864,0.0400760562265438,1,0.92258318159625,1
"CD28 co-stimulation",1,1,0.707937499710665,1,1,1,1,1,1,1,0.778985982256586,0.183729652754016,1,1,1
"CD28 dependent PI3K/Akt signaling",1,1,0.732181700795916,1,0.968626550757117,1,1,1,1,1,0.778361755362858,0.761437211709885,0.993004839365602,1,1
"PD-1 signaling",1,1,1,1,0.712221335322824,1,1,0.966813171481019,1,1,1,0.0803491606622444,1,0.173149307428859,1
"Post-chaperonin tubulin folding pathway",1,0.756892576218805,0.752959696374978,1.22388149260175e-18,1,1,0.00133937767596978,1,1,1,1,0.89396850501489,0.994088277809021,0.000437792251467624,1
"Chaperonin-mediated protein folding",0.973385125703499,0.986747976387307,0.715716988923612,8.69585400882316e-07,0.849061623881704,1,0.301914553542508,0.369095828445181,1,1,1,1,1,0.20624206438044,1
"Striated Muscle Contraction",0.938876804418432,1,1,1,1,1,1,0.856483431834929,1,1,0.802282748390526,0.65518982789128,1,0.92258318159625,0.636292343348971
"Diseases associated with O-glycosylation of proteins",1,0.838616187500603,1,0.98112243401227,1,1,1,0.864136638555685,0.650325456546898,0.929469498654131,0.858796956692643,1,1,0.92258318159625,0.588391404651887
"Protein folding",0.973385125703499,0.923383431714299,0.732399537372303,1.63779602501745e-06,0.838226471305104,1,0.336195806249727,0.379709615314678,1,1,1,1,1,0.138891826718552,1
"Eicosanoid ligand-binding receptors",1,1,1,1,1,1,1,0.379709615314678,1,1,0.987885533571776,0.921246132445516,1,1,0.733485242508434
"Nitric oxide stimulates guanylate cyclase",1,1,1,1,1,1,1,1,0.848477675906769,1,0.991782288283951,1,1,1,0.819595711081036
"G beta:gamma signalling through PI3Kgamma",1,0.482252486709344,0.526181418069979,1,1,0.884698710906838,1,0.845113034679278,0.874560120039762,1,0.699075600671349,1,0.993004839365602,1,1
"Metabolism of proteins",1,1,0.854634201835434,0.00493466312932695,0.809595686599698,1,0.0155665627288453,1,0.122946774572377,0.966195673803764,1,0.250120352523339,1,0.180505713345233,0.870506028148429
"Signal amplification",1,0.87738020768072,0.732399537372303,1,0.910874790403755,1,1,0.369095828445181,0.543063259681416,0.985200217281556,0.858796956692643,1,0.992934729656219,1,1
"EPHB-mediated forward signaling",1,1,1,1,0.90299778207443,1,0.301734724575786,0.966813171481019,0.763273801738277,1,1,0.753801020082692,1,1,1
"EPHA-mediated growth cone collapse",1,0.969215363308866,1,0.600861148473596,1,1,0.339864554125904,1,1,0.975388653810164,1,1,1,1,1
"EPH-ephrin mediated repulsion of cells",1,1,1,0.996748224372412,1,0.948401879880456,0.531801763136218,1,1,1,1,0.927751432806354,1,1,1
"Muscle contraction",0.873518379258882,0.838616187500603,1,1,0.705643907483977,1,1,0.993341722894549,0.876669016846428,1,0.991782288283951,0.959206305667598,1,0.596135122948981,0.633995111159967
"G-protein beta:gamma signalling",1,0.482252486709344,0.564695564182576,1,1,0.920323514560849,1,0.845113034679278,0.829198888356039,1,0.699075600671349,0.921246132445516,1,1,1
"Adrenaline,noradrenaline inhibits insulin secretion",0.921251407091753,0.797370559722531,0.71318169588152,0.818401588109745,1,0.928361436858696,1,0.848085982011822,1,0.892862492522819,1,1,0.894385538767329,1,1
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)",1,1,1,1,1,1,0.270858381198575,1,0.0860551239637121,1,0.699075600671349,0.89396850501489,1,0.65654290087927,1
"Circadian Clock",0.992103849471699,0.838616187500603,0.582184544694876,1,1,1,1.56061634127484e-06,1,1,1,0.991782288283951,1,0.890086605628858,0.944638665282935,1
"Ca2+ pathway",0.973385125703499,0.919420158054976,0.607108506189429,1,0.814403675844228,1,0.856631273065595,0.856483431834929,1,0.0448532284853707,1,0.510218711859949,0.822896199466943,1,1
"PCP/CE pathway",0.921251407091753,0.903125791131217,0.582184544694876,0.466157638041366,1,0.680914347463731,0.316069553659178,0.62460208629416,1,0.892862492522819,1,1,1,1,1
"G alpha (q) signalling events",1,1,0.934224954545137,1,0.99396395007802,1,1,0.845113034679278,0.543063259681416,1,0.699075600671349,0.9090971493194,1,1,0.820456530339099
"G alpha (12/13) signalling events",0.938876804418432,1,0.582184544694876,1,1,0.680914347463731,1,0.77396864983529,1,0.698303924726301,1,1,0.993004839365602,1,0.890927782667708
"Other semaphorin interactions",1,1,0.752959696374978,1,0.920799376633248,1,1,0.845113034679278,1,0.726160774246008,1,0.985309163739511,1,0.854153694298364,1
"Platelet homeostasis",1,1,0.781233094770467,1,1,1,1,0.966813171481019,0.619393760672442,0.95982886716971,1,1,1,1,0.844720546314085
"G alpha (s) signalling events",1,1,0.950562045000848,1,1,1,0.742713302473949,1,1,1,0.773920615349823,1,1,1,0.833332549641269
"ADP signalling through P2Y purinoceptor 1",1,0.875161432786707,0.732181700795916,1,1,1,1,0.570452736789571,0.493480144604868,0.95982886716971,0.970053251061347,1,1,1,1
"G alpha (i) signalling events",1,0.969215363308866,1,1,1,1,1,0.77396864983529,8.26551305637947e-07,0.994324371435758,0.740849229240549,1,0.993501734111871,1,0.890927782667708
"G alpha (z) signalling events",0.92773034617844,1,0.07014258715804,1,0.733032839940415,0.908833867340061,1,0.845113034679278,1,0.844633445038524,1,0.974542622397622,0.941671005741709,1,1
"Adherens junctions interactions",1,1,1,1,1,1,0.779999632052598,0.845113034679278,1,1,1,1,1,1,1
"NCAM1 interactions",1,1,1,1,0.897015704369984,0.974494496892179,1,1,1,1,0.880282876138962,1,1,1,0.996579571366486
"Tight junction interactions",1,0.838616187500603,1,0.358821936250635,1,0.948401879880456,0.387401766610052,0.369095828445181,1,0.726160774246008,1,1,0.740807621983679,1,0.937866423472316
"Class C/3 (Metabotropic glutamate/pheromone receptors)",1,1,1,0.448407308276076,0.933166846575576,0.822236136624347,1,1,1,0.95982886716971,0.959804212752455,1,0.765391567880823,1,0.621483110395427
"Cell-cell junction organization",1,0.946095319445234,1,0.81866587047246,1,0.974494496892179,0.402272490696664,0.369095828445181,1,0.929469498654131,1,1,0.993004839365602,1,0.969891128191989
"Clathrin derived vesicle budding",0.973385125703499,0.916176170230795,0.805014219185793,1,0.852791930724751,0.842747819271451,0.312812697315684,1,0.876669016846428,1,0.778985982256586,1,0.765391567880823,0.735271508756202,1
"Regulation of insulin secretion",0.973385125703499,0.482252486709344,0.732181700795916,0.784491388442086,0.814403675844228,0.884698710906838,1,0.778914625220931,1,0.997048169789662,1,0.767209350157163,1,0.854153694298364,1
"Axon guidance",0.938876804418432,0.533507482598585,1,0.490729779387906,0.929106823106993,0.801992182527123,0.139825096507432,1,1,1,1,1,0.941671005741709,0.944638665282935,1
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",1,1,0.752959696374978,1,1,1,0.979008489224666,1,0.954545650492723,1,0.778985982256586,1,0.993004839365602,1,0.654821051022011
"Transport of inorganic cations/anions and amino acids/oligopeptides",1,1,0.965817384734367,0.662712218406139,0.99396395007802,1,0.776644700141637,1,0.760647540527447,1,1,0.9090971493194,0.726591343041619,1,0.77531106828556
"Transport of vitamins, nucleosides, and related molecules",1,0.849350373126335,1,0.857455313687588,0.90299778207443,0.948401879880456,0.311947081752613,1,1,0.985205423606217,1,1,1,1,1
"SLC-mediated transmembrane transport",1,1,0.950562045000848,1,1,1,0.639280961591502,1,0.874786178272396,1,1,1,0.921305012752618,1,0.733485242508434
"SIRT1 negatively regulates rRNA Expression",1,1,1,0.000188671484998085,1,1,1,1,1,0.726160774246008,1,0.354627114529264,1,1.31248459089728e-08,1
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",1,1,1,0.000351689357465552,1,1,1,1,1,0.726160774246008,1,0.414849486152725,1,2.70542849467967e-08,1
"NoRC negatively regulates rRNA expression",1,1,1,0.000351689357465552,1,1,1,1,1,0.726160774246008,1,0.21497718109338,1,2.70542849467967e-08,1
"Sphingolipid metabolism",0.898499064573477,1,0.732399537372303,0.867298995767038,0.839942589653728,0.680914347463731,0.0738984161545472,0.926753510727321,1,0.985205423606217,1,0.412506794766203,1,1,1
"Thromboxane signalling through TP receptor",1,0.858478553976757,0.607108506189429,0.941742957688865,0.931011359960717,1,1,0.348381564794623,0.915973139213632,0.929469498654131,0.767455918976054,0.981272239070455,0.993004839365602,0.966631533783508,1
"Vasopressin regulates renal water homeostasis via Aquaporins",1,0.89432397339759,0.224686939268676,1,1,0.929043014412057,1,0.849473034454405,1,0.282306302715134,1,0.981272239070455,0.994088277809021,1,1
"Golgi Associated Vesicle Biogenesis",1,0.838616187500603,0.752959696374978,1,0.814403675844228,1,0.243154009965696,1,0.82486518072474,1,0.767455918976054,1,0.726591343041619,0.50192511964772,0.963080044642193
"Recycling pathway of L1",1,0.738514406527261,0.917224246586891,3.66163714819779e-12,1,1,0.0118003866286729,0.98777750087198,1,1,1,1,1,0.0560153314246693,1
