Expresssion,Tumor
12.1022779,AML
12.6138178,AML
12.5274079,AML
12.6799035,AML
12.6483659,AML
12.12146303,AML
12.82703057,AML
12.49423763,AML
12.73363848,AML
13.27883897,AML
12.5723478,AML
12.71855993,AML
12.83863638,AML
12.71197858,AML
12.32958496,AML
12.39080588,AML
12.2979596,AML
13.02434169,AML
12.6388595,AML
12.6029957,AML
12.52851887,AML
12.42293748,AML
12.54899061,AML
12.25005365,AML
12.48600823,AML
12.53248119,AML
13.03209628,AML
12.46783029,AML
12.82908844,AML
11.73438553,AML
11.8051308,AML
12.16311259,AML
11.67048307,AML
12.0448187,AML
12.04934028,AML
11.63313614,AML
11.55148675,AML
12.03389208,AML
11.42695695,AML
11.64119115,AML
11.60150483,AML
12.10645423,AML
11.3484075,AML
11.87656982,AML
12.45864709,AML
11.05574303,BLGG
11.51164242,BLGG
11.3570231,BLGG
12.01956237,BLGG
11.40567812,BLGG
11.61654577,BLGG
11.51470153,BLGG
11.28442333,BLGG
11.67565272,BLGG
11.38301042,BLGG
11.41003661,BLGG
11.38564242,BLGG
11.283325,BLGG
11.24039907,BLGG
11.08538714,BLGG
11.60964047,BLGG
11.13401707,BLGG
11.59675228,BLGG
11.71895565,BLGG
10.9158693,BLGG
11.52545225,BLGG
10.75303862,BLGG
11.97833136,BLGG
11.42384847,BLGG
11.21392445,BLGG
11.25512443,BLGG
11.50148025,BLGG
11.05889367,BLGG
11.39542296,BLGG
11.53376827,BLGG
11.43328477,BLGG
11.30378075,BLGG
10.87692284,BLGG
11.56763899,BLGG
11.99276386,BLGG
11.86755721,BLGG
11.46840859,BLGG
11.09500834,BLGG
11.1710598,BLGG
11.48974954,BLGG
11.67797249,BLGG
10.65716265,BLGG
11.05347183,BLGG
11.48433921,BLGG
11.08746132,BLGG
11.29260669,BLGG
11.1854756,BLGG
10.7954215,BLGG
10.50923246,BLGG
12.13425602,BLGG
11.33300979,BLGG
11.12119042,BLGG
11.60326224,BLGG
11.93884505,BIC
11.05934547,BIC
11.77455697,BIC
11.56224366,BIC
11.22030704,BIC
11.33132543,BIC
10.87343065,BIC
11.43825261,BIC
11.01311124,BIC
11.67428581,BIC
11.46941466,BIC
11.76553562,BIC
11.53598547,BIC
11.71209873,BIC
11.35041045,BIC
11.7439736,BIC
11.89971136,BIC
11.77973125,BIC
11.74692016,BIC
12.06690939,BIC
12.01129261,BIC
12.17567373,BIC
11.83015421,BIC
11.86088616,BIC
11.1269784,BIC
11.47005839,BIC
11.86115888,BIC
11.33336207,BIC
11.87365577,BIC
11.94828389,BIC
11.37469659,BIC
12.2160696,BIC
11.58198194,BIC
11.61343782,BIC
11.80997065,BIC
11.85216969,BIC
11.38420872,BIC
11.56515121,BIC
11.76626631,BIC
11.47919342,BIC
11.54605589,BIC
12.09059402,BIC
12.07828626,BIC
11.27306562,BIC
12.14981135,BIC
11.09123345,BIC
11.51888193,BIC
10.97630814,BIC
10.76547648,BIC
11.36487967,BIC
11.73532729,BIC
11.79905969,BIC
11.84151851,BIC
11.55921943,BIC
11.77970286,BIC
11.36766586,BIC
11.89376449,BIC
11.28007355,BIC
11.18009284,BIC
11.26909704,BIC
11.38838265,BIC
11.45065557,BIC
11.46519216,BIC
11.38300394,BIC
12.13932441,BIC
11.90212175,BIC
11.35945825,BIC
11.68957628,BIC
10.80059386,BIC
11.84523073,BIC
12.06277634,BIC
11.68621783,BIC
11.46886685,BIC
11.70867792,BIC
10.85869571,BIC
11.53029172,BIC
11.56497071,BIC
10.9759542,BIC
11.88898992,BIC
11.69505225,BIC
11.0501936,BIC
11.70713693,BIC
11.64935176,BIC
11.51913815,BIC
11.49290963,BIC
11.57877902,BIC
11.53158372,BIC
11.76116657,BIC
11.47177214,BIC
12.25189327,BIC
10.98641094,BIC
10.70373369,BIC
11.87845871,BIC
11.05568109,BIC
10.99758633,BIC
11.64758843,BIC
11.75739676,BIC
11.61446043,BIC
11.57415228,BIC
11.72902358,BIC
10.93324089,BIC
11.80716882,BIC
11.53176538,BIC
11.42279555,BIC
11.61266645,BIC
11.48602955,BIC
12.01013437,BIC
11.6660593,BIC
11.78917668,BIC
10.89204481,BIC
11.66167394,BIC
11.24628664,BIC
11.31864172,BIC
10.89102221,BIC
11.9403905,BIC
11.55679787,BIC
11.92352694,BIC
